"f4dee8cf-313f-4be9-9777-7791cf240165","the ligo scientific collaboration|the virgo collaboration|jonathan gair","collaboration, t. l. i. g. o. s.|collaboration, t. v. |gair, j."
"9b5e7e4b-c1f5-4e75-9967-a95c78e52a2a","m. branicki|a.j. majda","branicki, m.|majda, a. j."
"7c8ebffb-c7c4-4896-94f2-66525086dd7c","michael nicholson|tibor antal","nicholson, m. |antal, t."
"4ec4faab-37f7-4dd7-9c5f-f79d3d6a9228","susan sierra|j. m. hennig","sierra, s.|hennig, j. m."
"afbf3168-3d81-4f67-aab0-25c77fdb33a1","james lucietti","lucietti, j."
"6051a141-e36c-4aaf-acda-a83d329bd2cf","emmanuel fragniere|jacek gondzio|nils tuchschmid|qun zhang","fragniere, e.|gondzio, j.|tuchschmid, n. |zhang, q."
"dcd509f3-0f4d-43c2-9a34-1799cb004bc7","clark barwick","barwick, c."
"b2360d17-826c-4ab2-977c-d204bd00b379","g al-jeiroudi|jacek gondzio|julian hall","jeiroudi, g.|gondzio, j.|hall, j."
"b13abfca-453c-4aea-adf6-d7d421cec7a4","jonathan bennett|anthony carbery|michael christ|terence tao","bennett, j.|carbery, a.|christ, m. |tao, t."
"b4286dd0-379c-424b-a254-6ad26286d775","m. branicki|s. wiggins","branicki, m.|wiggins, s."
"21777438-8b8a-46f3-9980-1a811a6bae71","guillaume van baalen|nikola popovic|c. eugene wayne","baalen, g.|popovic, n.|wayne, c. e."
"588313b7-09d0-44c5-a006-180b024b297d","sheila bird|ruth king","bird, s.|king, r."
"6f4afdb7-f2fb-424c-a896-0de6c2bd9f8e","c. j. sangwin","sangwin, c. j."
"28c19bf5-9e7d-4de2-bf28-bfdffe9ae7e4","c dent","dent, c."
"6af359a7-4326-41b0-b238-9df0ce166909","josé figueroa-o'farrill","farrill, j."
"ef86086f-5b24-437b-9f2d-f17f68c9e335","gaetano assanto|j. michael l macneil|noel f. smyth","assanto, g.|macneil, j. m. l. |smyth, n. f."
"3e6b1b85-7c0c-4b01-b2bc-73572812ffa9","a. ilchmann|e. p. ryan|c. j. sangwin","ilchmann, a.|ryan, e. p. |sangwin, c. j."
"6a45da6c-675b-49a5-999d-30fb1ad3270c","jörg kalcsics|stefan nickel|justo puerto","kalcsics, j.|nickel, s. |puerto, j."
"294ad7c6-3799-48de-855e-b06ee9a544bc","minho park|aretha teckentrup","park, m. |teckentrup, a."
"13378530-236b-4576-8587-49c84f0fc7f9","c dent|j bialek|s zachary","dent, c.|bialek, j.|zachary, s."
"288d9659-a64c-469c-8860-ec8d9a1a1602","mahdi doostmohammadi|agostinho agra","doostmohammadi, m.|agra, a."
"828ad65c-7ab4-4f28-9eec-123182b1adb9","kimon fountoulakis|jacek gondzio|pavel zhlobich","fountoulakis, k.|gondzio, j.|zhlobich, p."
"34058e16-e509-4bcf-a699-8ea8dfd39a20","james roland maddison|d. p. marshall","maddison, j. r.|marshall, d. p."
"93714fda-b488-495f-b14b-9e24ffb1ec6e","freddy dumortier|nikola popovic|tasso j. kaper","dumortier, f.|popovic, n.|kaper, t. j."
"cd7a7fcb-bdbc-4155-b4e5-4e0ab61e6bea","agata smoktunowicz","smoktunowicz, a."
"6589f633-f736-4ce8-b3af-b4fed35c22b2","h w braden","braden, h. w."
"53e6d1ea-0752-48ad-b48e-831fef12921d","assyr abdulle|gilles vilmart|konstantinos c. zygalakis","abdulle, a.|vilmart, g. |zygalakis, k. c."
"8dedb538-73d6-424b-a5ef-7ecf046613a9","h w braden|a marshakov","braden, h. w.|marshakov, a."
"34ca5521-f9bf-48eb-b41f-cf44319313ba","d. simpson|janine b. illian|f. lindgren|s. h. sorbye|h. rue","simpson, d.|illian, j. b.|lindgren, f.|sorbye, s. h. |rue, h."
"d8448def-650e-45ca-bf1c-b0a698ff1b3a","g. friesecke|b.d. goddard","friesecke, g. |goddard, b. d."
"fc379631-35d8-46f2-8d52-d517e93a4228","m. de carvalho","carvalho, m."
"19a0912b-e00c-431b-9db0-d9edc7d8a38a","colin aitken|amy wilson|richard sleeman|b.e.m. morgan|j. huish","aitken, c.|wilson, a.|sleeman, r.|morgan, b. e. m. |huish, j."
"cad89ba6-9e89-4988-8b49-d4e79692365c","raffaele basile|ramon grima|nikola popovic","basile, r.|grima, r.|popovic, n."
"e5030f7c-968c-482d-983d-8e30ea90addb","mehdi aghabali|z. tajfirouz","aghabali, m.|tajfirouz, z."
"254fd743-e349-4b0e-b145-93e99561a8bc","marie bjerrum|peter johnstone|thomas leinster|william f. sawin","bjerrum, m.|johnstone, p.|leinster, t.|sawin, w. f."
