pub_id,date,year,title,authors,pub_url,doi_url,pdf_url,abstract,publications
ccde97c4-4d42-4fd5-9145-be6f5685b189,15 Jan 2008,2008,black holes in supergravity the nonbps branch,eric g. gimon|finn larsen|joan simon,http://www.research.ed.ac.uk/portal/en/publications/black-holes-in-supergravity-the-nonbps-branch(ccde97c4-4d42-4fd5-9145-be6f5685b189).html,http://dx.doi.org/10.1088/1126-6708/2008/01/040,http://www.research.ed.ac.uk/portal/files/8677950/Black_holes_in_supergravity_the_non_BPB_branch.pdf,"we construct extremal, spherically symmetric black hole solutions to 4d supergravity with charge assignments that preclude bps-saturation. in particular, we determine the ground state energy as a function of charges and moduli. we find that the mass of the non-bps black hole remains that of a marginal bound state of four basic constituents throughout the entire moduli space and that there is always a non-zero gap above the bps bound.",journal of high energy physics
5a23419b-ae52-47c6-a941-b60a5c0af816,1 May 2013,2013,a partially dimensionallysplit approach to numerical mhd,h. sriskantha|m. ruffert,http://www.research.ed.ac.uk/portal/en/publications/a-partially-dimensionallysplit-approach-to-numerical-mhd(5a23419b-ae52-47c6-a941-b60a5c0af816).html,http://dx.doi.org/10.1093/mnras/stt620,http://www.research.ed.ac.uk/portal/files/17737859/A_partially_dimensionally_split_approach_to_numerical_MHD.pdf,"we modify an existing magnetohydrodynamics algorithm originally
developed by balsara and spicer and later tóth to make it more
compatible with a dimensionally-split (ds) framework. it is based on the
standard reconstruct-solve-average strategy (using a riemann solver),
and relies on constrained transport to ensure that the magnetic field
remains divergence free (nabla \cdot b = 0). the ds approach, combined
with the use of a single, cell-centred grid (for both the fluid
quantities and the magnetic field), means that the algorithm can be
easily added to existing ds hydrodynamics codes. this makes it
particularly useful for mature astrophysical codes, which often model
more complicated physical effects on top of an underlying ds
hydrodynamics engine, and therefore cannot be restructured easily.
several test problems have been included to demonstrate the accuracy of
the algorithm, and illustrative source code has been made freely
available online.",monthly notices of the royal astronomical society
b4662f42-9363-43d1-8a21-fe0e6878fca7,17 Nov 2009,2009,accurate prediction of nonadiabatic transitions through avoided crossings,v. betz|b.d. goddard,http://www.research.ed.ac.uk/portal/en/publications/accurate-prediction-of-nonadiabatic-transitions-through-avoided-crossings(b4662f42-9363-43d1-8a21-fe0e6878fca7).html,http://dx.doi.org/10.1103/PhysRevLett.103.213001,http://www.research.ed.ac.uk/portal/files/16194871/Accurate_Prediction_of_Nonadiabatic_Transitions_through_Avoided_Crossings.pdf,"in the case of one nuclear degree of freedom, we derive an explicit formula for the nuclear wave function transmitted through an avoided crossing, and show that it agrees to high accuracy with precise numerical calculations. © 2009 the american physical society.",physical review letters
4a112803-7555-42a5-81d7-7212f64e74cd,15 Nov 2017,2017,an asymptotic expansion for the normalizing constant of the conwaymaxwellpoisson distribution,robert e. gaunt|satish iyengar|adri olde daalhuis|burcin simsek,http://www.research.ed.ac.uk/portal/en/publications/an-asymptotic-expansion-for-the-normalizing-constant-of-the-conwaymaxwellpoisson-distribution(4a112803-7555-42a5-81d7-7212f64e74cd).html,http://dx.doi.org/10.1007/s10463-017-0629-6,UNKNOWN,"the conway–maxwell–poisson distribution is a two-parameter generalization of the poisson distribution that can be used to model data that are under- or over-dispersed relative to the poisson distribution. the normalizing constant z (λ, ν)
is given by an inﬁnite series that in general has no closed form, although several papers have derived approximations for this sum. in this work, we start by using probabilistic argument to obtain the leading term in the asymptotic expansion of z(λ, ν) in the limit λ → ∞ that holds for all ν > 0. we then use an integral representation to obtain the entire asymptotic series and give explicit formulas for the ﬁrst eight coefﬁcients. we apply this asymptotic series to obtain approximations for the mean, variance, cumulants, skewness, excess kurtosis and raw moments of cmp random variables. numerical results conﬁrm that these correction terms yield more accurate estimates than those obtained using just the leading-order term.",annals of the institute of statistical mathematics
be1f67a4-5f7a-4b90-8f54-29ec87c485f1,Jan 2008,2008,twocolor vectorsoliton interactions in nematic liquid crystals in the local response regime,benjamin d. skuse|noel f. smyth,http://www.research.ed.ac.uk/portal/en/publications/twocolor-vectorsoliton-interactions-in-nematic-liquid-crystals-in-the-local-response-regime(be1f67a4-5f7a-4b90-8f54-29ec87c485f1).html,http://dx.doi.org/10.1103/PhysRevA.77.013817,http://www.research.ed.ac.uk/portal/files/15474405/Two_color_vector_soliton_interactions_in_nematic_liquid_crystals_in_the_local_response_regime.pdf,unknown,physical review a
18b607af-8e93-4909-8813-700b164e9809,Sep 2015,2015,the stokes groupoids,marco gualtieri|songhao li|brent pym,http://www.research.ed.ac.uk/portal/en/publications/the-stokes-groupoids(18b607af-8e93-4909-8813-700b164e9809).html,UNKNOWN,UNKNOWN,"we construct and describe a family of groupoids over complex curves which serve as the universal domains of definition for solutions to linear ordinary differential equations with singularities. as a consequence, we obtain a direct, functorial method for resumming formal solutions to such equations.",journal fur die reine und angewandte mathematik
d7786cdc-804d-4b5a-8147-05bcb4eb399b,2009,2009,critical mass phenomenon for a chemotaxis kinetic model with spherically symmetric initial data,nikolaos bournaveas|vincent calvez,http://www.research.ed.ac.uk/portal/en/publications/critical-mass-phenomenon-for-a-chemotaxis-kinetic-model-with-spherically-symmetric-initial-data(d7786cdc-804d-4b5a-8147-05bcb4eb399b).html,http://dx.doi.org/10.1016/j.anihpc.2009.02.001,UNKNOWN,unknown,annales de l'institut henri poincare (c) non linear analysis
d811e287-408f-4e95-9150-a5b070663d43,2012,2012,bivariate extreme statistics ii,m. de carvalho|alexandra ramos,http://www.research.ed.ac.uk/portal/en/publications/bivariate-extreme-statistics-ii(d811e287-408f-4e95-9150-a5b070663d43).html,UNKNOWN,http://www.research.ed.ac.uk/portal/files/30311035/decarvalho2012e.pdf,we review the current state of statistical modeling of asymptotically independent,revstat statistical journal
6503e483-4727-44b9-aa2c-953059a952f4,15 Aug 2008,2008,topology of stirring in twodimensional turbulence point vortex in a timedependent ambient strain,m. branicki,http://www.research.ed.ac.uk/portal/en/publications/topology-of-stirring-in-twodimensional-turbulence(6503e483-4727-44b9-aa2c-953059a952f4).html,http://dx.doi.org/10.1016/j.physd.2008.02.021,http://www.research.ed.ac.uk/portal/files/18235641/Topology_of_stirring_in_two_dimensional_turbulence_Point_vortex_in_a_time_dependent_ambient_strain.pdf,"we analyse the lagrangian geometry of a time-dependent flow in the neighbourhood of a coherent vortex which is assumed to be a member of a vortex cluster collectively ruling the dynamics in the late stages of decaying two-dimensional turbulence. in order to gain insight into the highly inhomogeneous transport of a passive tracer in such vortex-dominated flows, we consider an idealised kinematic model of a local flow around a single coherent vortex in the cluster at distances much smaller than the distance to its nearest neighbour. we focus, in particular, on flow configurations which lead to a vigorous stirring and a subsequent escape of a passive tracer from the neighbourhood of the vortex. here, the central vortex is approximated by a point vortex but the analytical arguments can be modified to cater for more realistic vorticity distributions. the principal axes of an irrotational ambient strain, which represents the combined, leading-order influence of its neighbours, are assumed to rotate with constant angular velocity and the strain-rate varies harmonically in time. the lagrangian structure of the flow near the vortex is analysed by utilising the hamiltonian formalism and employing appropriate perturbation methods. it is shown that sufficiently near the vortex there exist kam-like tori which confine regions of purely chaotic tracer trajectories to the neighbourhood of the vortex. we emphasise, however, that there can exist certain 'open' flow geometries which lead to eventual 'leakage' of the tracer from 'sufficiently distant' regions of vigorous stirring to the outer flow. such local flow configurations can be regarded as a prototype of the 'mixers' in decaying 2d turbulence. © 2008 elsevier b.v. all rights reserved.",physica d - nonlinear phenomena
c72c5370-2ff0-478d-aa95-25569d890fe7,19 Nov 2015,2015,semimarkov arnasonschwarz models,ruth king|roland langrock,http://www.research.ed.ac.uk/portal/en/publications/semimarkov-arnasonschwarz-models(c72c5370-2ff0-478d-aa95-25569d890fe7).html,http://dx.doi.org/10.1111/biom.12446,http://www.research.ed.ac.uk/portal/files/21777586/semiMarkovAS_R2.pdf,"we consider multi-state capture–recapture–recovery data where observed individuals are recorded in a set of possible discrete states. traditionally, the arnason–schwarz model has been fitted to such data where the state process is modeled as a first-order markov chain, though second-order models have also been proposed and fitted to data. however, low-order markov models may not accurately represent the underlying biology. for example, specifying a (time-independent) first-order markov process involves the assumption that the dwell time in each state (i.e., the duration of a stay in a given state) has a geometric distribution, and hence that the modal dwell time is one. specifying time-dependent or higher-order processes provides additional flexibility, but at the expense of a potentially significant number of additional model parameters. we extend the arnason–schwarz model by specifying a semi-markov model for the state process, where the dwell-time distribution is specified more generally, using, for example, a shifted poisson or negative binomial distribution. a state expansion technique is applied in order to represent the resulting semi-markov arnason–schwarz model in terms of a simpler and computationally tractable hidden markov model. semi-markov arnason–schwarz models come with only a very modest increase in the number of parameters, yet permit a significantly more flexible state process. model selection can be performed using standard procedures, and in particular via the use of information criteria. the semi-markov approach allows for important biological inference to be drawn on the underlying state process, for example, on the times spent in the different states. the feasibility of the approach is demonstrated in a simulation study, before being applied to real data corresponding to house finches where the states correspond to the presence or absence of conjunctivitis.",biometrics
