"madeleine kittner"," philippe thomas"
"madeleine kittner","saskia trescher"
"yvonne lichtblau","pavel pecina"
"yvonne lichtblau","roland roller"
"yvonne lichtblau","rudolf rosa"
"yvonne lichtblau","amy siu"
"yvonne lichtblau"," philippe thomas"
"yvonne lichtblau","saskia trescher"
"pavel pecina","roland roller"
"pavel pecina","rudolf rosa"
"pavel pecina","amy siu"
"pavel pecina"," philippe thomas"
"pavel pecina","saskia trescher"
"roland roller","rudolf rosa"
"roland roller","amy siu"
"roland roller"," philippe thomas"
"roland roller","saskia trescher"
"rudolf rosa","amy siu"
"rudolf rosa"," philippe thomas"
"rudolf rosa","saskia trescher"
"amy siu"," philippe thomas"
"amy siu","saskia trescher"
" philippe thomas","saskia trescher"
"rico sennrich","barry haddow"
"ondrej bojar","rajen chatterjee"
"ondrej bojar","christian federmann"
"ondrej bojar","yvette graham"
"ondrej bojar","barry haddow"
"ondrej bojar","matthias huck"
"ondrej bojar","philipp koehn"
"ondrej bojar","varvara logacheva"
"ondrej bojar","christof monz"
"ondrej bojar","matteo negri"
"ondrej bojar","matt post"
"ondrej bojar","raphael rubino"
"ondrej bojar","lucia specia"
"ondrej bojar","marco turchi"
"rajen chatterjee","christian federmann"
"rajen chatterjee","yvette graham"
"rajen chatterjee","barry haddow"
"rajen chatterjee","matthias huck"
"rajen chatterjee","philipp koehn"
"rajen chatterjee","varvara logacheva"
"rajen chatterjee","christof monz"
"rajen chatterjee","matteo negri"
"rajen chatterjee","matt post"
"rajen chatterjee","raphael rubino"
"rajen chatterjee","lucia specia"
"rajen chatterjee","marco turchi"
"christian federmann","yvette graham"
"christian federmann","barry haddow"
"christian federmann","matthias huck"
"christian federmann","philipp koehn"
"christian federmann","varvara logacheva"
"christian federmann","christof monz"
"christian federmann","matteo negri"
"christian federmann","matt post"
"christian federmann","raphael rubino"
"christian federmann","lucia specia"
"christian federmann","marco turchi"
"yvette graham","barry haddow"
"yvette graham","matthias huck"
"yvette graham","philipp koehn"
"yvette graham","varvara logacheva"
"yvette graham","christof monz"
"yvette graham","matteo negri"
"yvette graham","matt post"
"yvette graham","raphael rubino"
"yvette graham","lucia specia"
"yvette graham","marco turchi"
"barry haddow","matthias huck"
"barry haddow","philipp koehn"
"barry haddow","varvara logacheva"
"barry haddow","christof monz"
"barry haddow","matteo negri"
"barry haddow","matt post"
"barry haddow","raphael rubino"
"barry haddow","lucia specia"
"barry haddow","marco turchi"
"matthias huck","philipp koehn"
"matthias huck","varvara logacheva"
"matthias huck","christof monz"
"matthias huck","matteo negri"
"matthias huck","matt post"
"matthias huck","raphael rubino"
"matthias huck","lucia specia"
"matthias huck","marco turchi"
"philipp koehn","varvara logacheva"
"philipp koehn","christof monz"
"philipp koehn","matteo negri"
"philipp koehn","matt post"
"philipp koehn","raphael rubino"
"philipp koehn","lucia specia"
"philipp koehn","marco turchi"
"varvara logacheva","christof monz"
"varvara logacheva","matteo negri"
"varvara logacheva","matt post"
"varvara logacheva","raphael rubino"
"varvara logacheva","lucia specia"
"varvara logacheva","marco turchi"
"christof monz","matteo negri"
"christof monz","matt post"
"christof monz","raphael rubino"
"christof monz","lucia specia"
"christof monz","marco turchi"
"matteo negri","matt post"
"matteo negri","raphael rubino"
"matteo negri","lucia specia"
"matteo negri","marco turchi"
"matt post","raphael rubino"
"matt post","lucia specia"
"matt post","marco turchi"
"raphael rubino","lucia specia"
"raphael rubino","marco turchi"
"lucia specia","marco turchi"
"michael u. gutmann","jukka corander"
"jarno lintusaari","michael u. gutmann"
"jarno lintusaari","samuel kaski"
"jarno lintusaari","jukka corander"
"michael u. gutmann","samuel kaski"
"michael u. gutmann","jukka corander"
"samuel kaski","jukka corander"
"elina numminen","michael gutmann"
"elina numminen","mikhail shubin"
"elina numminen","pekka marttinen"
"elina numminen","guillaume méric"
"elina numminen","willem van schaik"
"elina numminen","teresa m. coque"
"elina numminen","fernando baquero"
"elina numminen","rob j.l. willems"
"elina numminen","samuel k. sheppard"
"elina numminen","edward j. feil"
"elina numminen","william p. hanage"
"elina numminen","jukka corander"
"michael gutmann","mikhail shubin"
"michael gutmann","pekka marttinen"
"michael gutmann","guillaume méric"
"michael gutmann","willem van schaik"
"michael gutmann","teresa m. coque"
"michael gutmann","fernando baquero"
"michael gutmann","rob j.l. willems"
"michael gutmann","samuel k. sheppard"
"michael gutmann","edward j. feil"
"michael gutmann","william p. hanage"
"michael gutmann","jukka corander"
"mikhail shubin","pekka marttinen"
"mikhail shubin","guillaume méric"
"mikhail shubin","willem van schaik"
"mikhail shubin","teresa m. coque"
"mikhail shubin","fernando baquero"
"mikhail shubin","rob j.l. willems"
"mikhail shubin","samuel k. sheppard"
"mikhail shubin","edward j. feil"
"mikhail shubin","william p. hanage"
"mikhail shubin","jukka corander"
"pekka marttinen","guillaume méric"
"pekka marttinen","willem van schaik"
"pekka marttinen","teresa m. coque"
"pekka marttinen","fernando baquero"
"pekka marttinen","rob j.l. willems"
"pekka marttinen","samuel k. sheppard"
"pekka marttinen","edward j. feil"
"pekka marttinen","william p. hanage"
"pekka marttinen","jukka corander"
"guillaume méric","willem van schaik"
"guillaume méric","teresa m. coque"
"guillaume méric","fernando baquero"
"guillaume méric","rob j.l. willems"
"guillaume méric","samuel k. sheppard"
"guillaume méric","edward j. feil"
"guillaume méric","william p. hanage"
"guillaume méric","jukka corander"
"willem van schaik","teresa m. coque"
"willem van schaik","fernando baquero"
"willem van schaik","rob j.l. willems"
"willem van schaik","samuel k. sheppard"
"willem van schaik","edward j. feil"
"willem van schaik","william p. hanage"
"willem van schaik","jukka corander"
"teresa m. coque","fernando baquero"
"teresa m. coque","rob j.l. willems"
"teresa m. coque","samuel k. sheppard"
"teresa m. coque","edward j. feil"
"teresa m. coque","william p. hanage"
"teresa m. coque","jukka corander"
"fernando baquero","rob j.l. willems"
"fernando baquero","samuel k. sheppard"
"fernando baquero","edward j. feil"
"fernando baquero","william p. hanage"
"fernando baquero","jukka corander"
"rob j.l. willems","samuel k. sheppard"
"rob j.l. willems","edward j. feil"
"rob j.l. willems","william p. hanage"
"rob j.l. willems","jukka corander"
"samuel k. sheppard","edward j. feil"
"samuel k. sheppard","william p. hanage"
"samuel k. sheppard","jukka corander"
"edward j. feil","william p. hanage"
"edward j. feil","jukka corander"
"william p. hanage","jukka corander"
"jarno lintusaari","michael gutmann"
"jarno lintusaari","ritabrata dutta"
"jarno lintusaari","samuel kaski"
"jarno lintusaari","jukka corander"
"michael gutmann","ritabrata dutta"
"michael gutmann","samuel kaski"
"michael gutmann","jukka corander"
"ritabrata dutta","samuel kaski"
"ritabrata dutta","jukka corander"
"samuel kaski","jukka corander"
"a. tietäväinen","m. u. gutmann"
"a. tietäväinen","e. keski-vakkuri"
"a. tietäväinen","j. corander"
"a. tietäväinen","e. hæggström"
"m. u. gutmann","e. keski-vakkuri"
"m. u. gutmann","j. corander"
"m. u. gutmann","e. hæggström"
"e. keski-vakkuri","j. corander"
"e. keski-vakkuri","e. hæggström"
"j. corander","e. hæggström"
"hiroaki sasaki","michael gutmann"
"hiroaki sasaki","hayaru shouno"
"hiroaki sasaki","aapo hyvärinen"
