laparra, v.,1148
hoare, c. a. r.,1149
trost, h.,1150
kaski, s.,1151
lang, j.,1152
wise, r. j. s.,1153
borwarnginn, p.,1154
hammond, s. t.,1155
chung, f.,1156
hitzeman, j.,1157
nuamah, k.,1158
pulakka, h.,1159
lao, b.,1160
fung, p.,1161
crescenzo, g. d.,1162
asfour, t.,1163
gay, s. j.,1164
bonk, r.,1165
draper, s.,1166
goiri,,1167
kim, c.,1168
newby, d. e.,1169
ure, j.,1170
cregut, p.,1171
oleksenko, o.,1172
semework, m.,1173
bose, r.,1174
bielby, m.,1175
stone, p.,1176
pouget, a.,1177
murray, a. w.,1178
frank, a.,1179
zisserman, a.,1180
curtis, a.,1181
burget, l.,1182
glasspool, d.,1183
jeffers, r.,1184
ruiter, j. p.,1185
maffeis, s.,1186
brooke, j. m.,1187
joppa, l. n.,1188
zee, p. c.,1189
simonetto, p.,1190
rodriguez, c.,1191
patil, s.,1192
mader, a.,1193
muetzelfeldt, b.,1194
rasheed, t.,1195
yarrow, s.,1196
ventura, d.,1197
tatarinov, i.,1198
karpistsenko, a.,1199
sabetghadam, m.,1200
livesey, m.,1201
foran, b.,1202
filiaci, f.,1203
carroll, r.,1204
englert, m.,1205
welling, m.,1206
dong, l.,1207
kidd, g.,1208
watson, p.,1209
prokopow, p.,1210
maur, d. a.,1211
leslie, l.,1212
cocci, r.,1213
behrendt, j.,1214
tian, l.,1215
stoutamire, d.,1216
beaucamps, p,1217
ward, f. b.,1218
roberts, g.,1219
guo, z.,1220
geisweiller, n.,1221
kunz, b.,1222
murray, d.,1223
carpenter, t.,1224
haleem, y. h.,1225
funke, m.,1226
adjigble, m.,1227
sobocinski, p.,1228
nezis, p.,1229
nabney, i. t.,1230
eichner, m.,1231
perret, j.,1232
mattis, j.,1233
ding, s.,1234
cattani, g. l.,1235
heycock, c. b.,1236
shi, z.,1237
baltopoulos, i. g.,1238
bird, c.,1239
suni, a.,1240
russo, i.,1241
pease, a.,1242
kunze, m.,1243
hafner, m.,1244
ullo, s.,1245
vrgoc, d.,1246
andreadis, p.,1247
bentivegna, d.,1248
tonneau, s.,1249
davis, k.,1250
hoogerbrugge, j.,1251
moehren, g.,1252
davidge, k. s.,1253
huber, f.,1254
k, j.,1255
fensch, c.,1256
klein, m.,1257
zhao, m.,1258
dingare, s.,1259
deary, i. j.,1260
johnson, m.,1261
pocklington, a. j.,1262
dror, g.,1263
s, j. v.,1264
leimkuhler, b.,1265
sharma, k.,1266
mcintyre, n.,1267
hahne, j.,1268
struffi, p.,1269
wellner, p.,1270
